,Office,RaceDate,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,PopularRaceNotes,ElectoralRaceNotes,year
16,President,19561104,Kentucky,10,0,0,"1,053,805","572,192","Eisenhower, Dwight D. ",Incumbent,"476,453","Stevenson, Adlai E. II",Challenger,States Rights,"5,160","Uncommitted, NULL  ",Challenger,,,"95,739",R,54.3,45.21,0.49,0.0,54.56,45.44,,,1956
17,President,19561104,Louisiana,10,0,0,"617,544","329,047","Eisenhower, Dwight D. ",Incumbent,"243,977","Stevenson, Adlai E. II",Challenger,States Rights,"44,520","Uncommitted, NULL  ",Challenger,,,"85,070",R,53.28,39.51,7.21,0.0,57.42,42.58,,,1956
18,President,19561104,Maine,5,0,0,"351,706","249,238","Eisenhower, Dwight D. ",Incumbent,"102,468","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"146,770",R,70.87,29.13,0.0,0.0,70.87,29.13,,,1956
19,President,19561104,Maryland,9,0,0,"932,827","559,738","Eisenhower, Dwight D. ",Incumbent,"372,613","Stevenson, Adlai E. II",Challenger,States Rights,476,"Uncommitted, NULL  ",Challenger,,,"187,125",R,60.0,39.94,0.05,0.0,60.04,39.96,,,1956
20,President,19561104,Massachusetts,16,0,0,"2,348,506","1,393,197","Eisenhower, Dwight D. ",Incumbent,"948,190","Stevenson, Adlai E. II",Challenger,States Rights,"7,119","Uncommitted, NULL  ",Challenger,,,"445,007",R,59.32,40.37,0.3,0.0,59.5,40.5,,,1956
21,President,19561104,Michigan,20,0,0,"3,080,468","1,713,647","Eisenhower, Dwight D. ",Incumbent,"1,359,898","Stevenson, Adlai E. II",Challenger,States Rights,"6,923","Uncommitted, NULL  ",Challenger,,,"353,749",R,55.63,44.15,0.22,0.0,55.75,44.25,,,1956
22,President,19561104,Minnesota,11,0,0,"1,340,005","719,302","Eisenhower, Dwight D. ",Incumbent,"617,525","Stevenson, Adlai E. II",Challenger,States Rights,"3,178","Uncommitted, NULL  ",Challenger,,,"101,777",R,53.68,46.08,0.24,0.0,53.81,46.19,,,1956
23,President,19561104,Mississippi,0,8,0,"248,104","60,685","Eisenhower, Dwight D. ",Incumbent,"144,453","Stevenson, Adlai E. II",Challenger,States Rights,"42,966","Uncommitted, NULL  ",Challenger,,,"83,768",D,24.46,58.22,17.32,0.0,29.58,70.42,,,1956
24,President,19561104,Missouri,0,13,0,"1,832,562","914,289","Eisenhower, Dwight D. ",Incumbent,"918,273","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"3,984",D,49.89,50.11,0.0,0.0,49.89,50.11,,,1956
25,President,19561104,Montana,4,0,0,"271,171","154,933","Eisenhower, Dwight D. ",Incumbent,"116,238","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"38,695",R,57.13,42.87,0.0,0.0,57.13,42.87,,,1956
26,President,19561104,Nebraska,6,0,0,"577,137","378,108","Eisenhower, Dwight D. ",Incumbent,"199,029","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"179,079",R,65.51,34.49,0.0,0.0,65.51,34.49,,,1956
27,President,19561104,Nevada,3,0,0,"96,689","56,049","Eisenhower, Dwight D. ",Incumbent,"40,640","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"15,409",R,57.97,42.03,0.0,0.0,57.97,42.03,,,1956
28,President,19561104,New Hampshire,4,0,0,"266,994","176,519","Eisenhower, Dwight D. ",Incumbent,"90,364","Stevenson, Adlai E. II",Challenger,States Rights,111,"Uncommitted, NULL  ",Challenger,,,"86,155",R,66.11,33.84,0.04,0.0,66.14,33.86,,,1956
29,President,19561104,New Jersey,16,0,0,"2,484,312","1,606,942","Eisenhower, Dwight D. ",Incumbent,"850,337","Stevenson, Adlai E. II",Challenger,States Rights,"27,033","Uncommitted, NULL  ",Challenger,,,"756,605",R,64.68,34.23,1.09,0.0,65.4,34.6,,,1956
30,President,19561104,New Mexico,4,0,0,"253,926","146,788","Eisenhower, Dwight D. ",Incumbent,"106,098","Stevenson, Adlai E. II",Challenger,States Rights,"1,040","Uncommitted, NULL  ",Challenger,,,"40,690",R,57.81,41.78,0.41,0.0,58.05,41.95,,,1956
31,President,19561104,New York,45,0,0,"7,095,971","4,345,506","Eisenhower, Dwight D. ",Incumbent,"2,747,944","Stevenson, Adlai E. II",Challenger,States Rights,"2,521","Uncommitted, NULL  ",Challenger,,,"1,597,562",R,61.24,38.73,0.04,0.0,61.26,38.74,,,1956
32,President,19561104,North Carolina,0,14,0,"1,165,592","575,062","Eisenhower, Dwight D. ",Incumbent,"590,530","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"15,468",D,49.34,50.66,0.0,0.0,49.34,50.66,,,1956
33,President,19561104,North Dakota,4,0,0,"253,991","156,766","Eisenhower, Dwight D. ",Incumbent,"96,742","Stevenson, Adlai E. II",Challenger,States Rights,483,"Uncommitted, NULL  ",Challenger,,,"60,024",R,61.72,38.09,0.19,0.0,61.84,38.16,,,1956
34,President,19561104,Ohio,25,0,0,"3,702,265","2,262,610","Eisenhower, Dwight D. ",Incumbent,"1,439,655","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"822,955",R,61.11,38.89,0.0,0.0,61.11,38.89,,,1956
35,President,19561104,Oklahoma,8,0,0,"859,350","473,769","Eisenhower, Dwight D. ",Incumbent,"385,581","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"88,188",R,55.13,44.87,0.0,0.0,55.13,44.87,,,1956
36,President,19561104,Oregon,6,0,0,"736,132","406,393","Eisenhower, Dwight D. ",Incumbent,"329,204","Stevenson, Adlai E. II",Challenger,States Rights,535,"Uncommitted, NULL  ",Challenger,,,"77,189",R,55.21,44.72,0.07,0.0,55.25,44.75,,,1956
37,President,19561104,Pennsylvania,32,0,0,"4,576,503","2,585,252","Eisenhower, Dwight D. ",Incumbent,"1,981,769","Stevenson, Adlai E. II",Challenger,States Rights,"9,482","Uncommitted, NULL  ",Challenger,,,"603,483",R,56.49,43.3,0.21,0.0,56.61,43.39,,,1956
38,President,19561104,Rhode Island,4,0,0,"387,609","225,819","Eisenhower, Dwight D. ",Incumbent,"161,790","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"64,029",R,58.26,41.74,0.0,0.0,58.26,41.74,,,1956
39,President,19561104,South Carolina,0,8,0,"300,583","75,700","Eisenhower, Dwight D. ",Incumbent,"136,372","Stevenson, Adlai E. II",Challenger,States Rights,"88,509","Uncommitted, NULL  ",Challenger,2.0,,"47,863",D,25.18,45.37,29.45,0.0,35.7,64.3,,,1956
40,President,19561104,South Dakota,4,0,0,"293,857","171,569","Eisenhower, Dwight D. ",Incumbent,"122,288","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"49,281",R,58.39,41.61,0.0,0.0,58.39,41.61,,,1956
41,President,19561104,Tennessee,11,0,0,"939,404","462,288","Eisenhower, Dwight D. ",Incumbent,"456,507","Stevenson, Adlai E. II",Challenger,States Rights,"20,609","Uncommitted, NULL  ",Challenger,,,"5,781",R,49.21,48.6,2.19,0.0,50.31,49.69,,,1956
42,President,19561104,Texas,24,0,0,"1,955,168","1,080,619","Eisenhower, Dwight D. ",Incumbent,"859,958","Stevenson, Adlai E. II",Challenger,States Rights,"14,591","Uncommitted, NULL  ",Challenger,,,"220,661",R,55.27,43.98,0.75,0.0,55.69,44.31,,,1956
43,President,19561104,Utah,4,0,0,"333,995","215,631","Eisenhower, Dwight D. ",Incumbent,"118,364","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"97,267",R,64.56,35.44,0.0,0.0,64.56,35.44,,,1956
44,President,19561104,Vermont,3,0,0,"152,978","110,390","Eisenhower, Dwight D. ",Incumbent,"42,549","Stevenson, Adlai E. II",Challenger,States Rights,39,"Uncommitted, NULL  ",Challenger,,,"67,841",R,72.16,27.81,0.03,0.0,72.18,27.82,,,1956
45,President,19561104,Virginia,12,0,0,"697,978","386,459","Eisenhower, Dwight D. ",Incumbent,"267,760","Stevenson, Adlai E. II",Challenger,States Rights,"43,759","Uncommitted, NULL  ",Challenger,,,"118,699",R,55.37,38.36,6.27,0.0,59.07,40.93,,,1956
46,President,19561104,Washington,9,0,0,"1,150,889","620,430","Eisenhower, Dwight D. ",Incumbent,"523,002","Stevenson, Adlai E. II",Challenger,States Rights,"7,457","Uncommitted, NULL  ",Challenger,,,"97,428",R,53.91,45.44,0.65,0.0,54.26,45.74,,,1956
47,President,19561104,West Virginia,8,0,0,"830,831","449,297","Eisenhower, Dwight D. ",Incumbent,"381,534","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"67,763",R,54.08,45.92,0.0,0.0,54.08,45.92,,,1956
48,President,19561104,Wisconsin,12,0,0,"1,550,558","954,844","Eisenhower, Dwight D. ",Incumbent,"586,768","Stevenson, Adlai E. II",Challenger,States Rights,"8,946","Uncommitted, NULL  ",Challenger,,,"368,076",R,61.58,37.84,0.58,0.0,61.94,38.06,,,1956
49,President,19561104,Wyoming,3,0,0,"124,127","74,573","Eisenhower, Dwight D. ",Incumbent,"49,554","Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,"25,019",R,60.08,39.92,0.0,0.0,60.08,39.92,,,1956
0,President,19601108,Alabama,0,5,6,"570,225","237,981","Nixon, Richard M. ",Challenger,"324,050","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"8,194",,"86,069",D,41.73,56.83,0.0,1.44,42.34,57.66,,,1960
1,President,19601108,Alaska,3,0,0,"60,762","30,953","Nixon, Richard M. ",Challenger,"29,809","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"1,144",R,50.94,49.06,0.0,0.0,50.94,49.06,,,1960
2,President,19601108,Arizona,4,0,0,"398,491","221,241","Nixon, Richard M. ",Challenger,"176,781","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,469,,"44,460",R,55.52,44.36,0.0,0.12,55.59,44.41,,,1960
3,President,19601108,Arkansas,0,8,0,"428,509","184,508","Nixon, Richard M. ",Challenger,"215,049","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"28,952",,"30,541",D,43.06,50.19,0.0,6.76,46.18,53.82,,,1960
4,President,19601108,California,32,0,0,"6,506,578","3,259,722","Nixon, Richard M. ",Challenger,"3,224,099","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"22,757",,"35,623",R,50.1,49.55,0.0,0.35,50.27,49.73,,,1960
5,President,19601108,Colorado,6,0,0,"736,236","402,242","Nixon, Richard M. ",Challenger,"330,629","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"3,365",,"71,613",R,54.63,44.91,0.0,0.46,54.89,45.11,,,1960
6,President,19601108,Connecticut,0,8,0,"1,222,883","565,813","Nixon, Richard M. ",Challenger,"657,055","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,15,,"91,242",D,46.27,53.73,0.0,0.0,46.27,53.73,,,1960
7,President,19601108,Delaware,0,3,0,"196,683","96,373","Nixon, Richard M. ",Challenger,"99,590","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,720,,"3,217",D,49.0,50.63,0.0,0.37,49.18,50.82,,,1960
8,President,19601108,District of Columbia,0,3,0,,,"Nixon, Richard M. ",Challenger,,"Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1960
9,President,19601108,Florida,10,0,0,"1,544,176","795,476","Nixon, Richard M. ",Challenger,"748,700","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"46,776",R,51.51,48.49,0.0,0.0,51.51,48.49,,,1960
10,President,19601108,Georgia,0,12,0,"733,349","274,472","Nixon, Richard M. ",Challenger,"458,638","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,239,,"184,166",D,37.43,62.54,0.0,0.03,37.44,62.56,,,1960
11,President,19601108,Hawaii,0,3,0,"184,705","92,295","Nixon, Richard M. ",Challenger,"92,410","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,115,D,49.97,50.03,0.0,0.0,49.97,50.03,,,1960
12,President,19601108,Idaho,4,0,0,"300,450","161,597","Nixon, Richard M. ",Challenger,"138,853","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"22,744",R,53.78,46.22,0.0,0.0,53.78,46.22,,,1960
13,President,19601108,Illinois,0,27,0,"4,757,409","2,368,988","Nixon, Richard M. ",Challenger,"2,377,846","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"10,575",,"8,858",D,49.8,49.98,0.0,0.22,49.91,50.09,,,1960
14,President,19601108,Indiana,13,0,0,"2,135,360","1,175,120","Nixon, Richard M. ",Challenger,"952,358","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"7,882",,"222,762",R,55.03,44.6,0.0,0.37,55.24,44.76,,,1960
15,President,19601108,Iowa,10,0,0,"1,273,810","722,381","Nixon, Richard M. ",Challenger,"550,565","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,864,,"171,816",R,56.71,43.22,0.0,0.07,56.75,43.25,,,1960
16,President,19601108,Kansas,8,0,0,"928,825","561,474","Nixon, Richard M. ",Challenger,"363,213","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"4,138",,"198,261",R,60.45,39.1,0.0,0.45,60.72,39.28,,,1960
17,President,19601108,Kentucky,10,0,0,"1,124,462","602,607","Nixon, Richard M. ",Challenger,"521,855","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"80,752",R,53.59,46.41,0.0,0.0,53.59,46.41,,,1960
18,President,19601108,Louisiana,0,10,0,"807,891","230,980","Nixon, Richard M. ",Challenger,"407,339","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"169,572",,"176,359",D,28.59,50.42,0.0,20.99,36.19,63.81,,,1960
19,President,19601108,Maine,5,0,0,"421,767","240,608","Nixon, Richard M. ",Challenger,"181,159","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"59,449",R,57.05,42.95,0.0,0.0,57.05,42.95,,,1960
20,President,19601108,Maryland,0,9,0,"1,055,349","489,538","Nixon, Richard M. ",Challenger,"565,808","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,3,,"76,270",D,46.39,53.61,0.0,0.0,46.39,53.61,,,1960
21,President,19601108,Massachusetts,0,16,0,"2,469,480","976,750","Nixon, Richard M. ",Challenger,"1,487,174","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"5,556",,"510,424",D,39.55,60.22,0.0,0.22,39.64,60.36,,,1960
22,President,19601108,Michigan,0,20,0,"3,318,097","1,620,428","Nixon, Richard M. ",Challenger,"1,687,269","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"10,400",,"66,841",D,48.84,50.85,0.0,0.31,48.99,51.01,,,1960
23,President,19601108,Minnesota,0,11,0,"1,541,887","757,915","Nixon, Richard M. ",Challenger,"779,933","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"4,039",,"22,018",D,49.16,50.58,0.0,0.26,49.28,50.72,,,1960
24,President,19601108,Mississippi,0,0,8,"298,171","73,561","Nixon, Richard M. ",Challenger,"108,362","Kennedy, John F. ",Challenger,Unpledged Democrat,"116,248","Byrd, Harry F. ",Challenger,,,"7,886",DU,24.67,36.34,38.99,0.0,40.44,59.56,,,1960
25,President,19601108,Missouri,0,13,0,"1,934,422","962,221","Nixon, Richard M. ",Challenger,"972,201","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"9,980",D,49.74,50.26,0.0,0.0,49.74,50.26,,,1960
26,President,19601108,Montana,4,0,0,"277,579","141,841","Nixon, Richard M. ",Challenger,"134,891","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,847,,"6,950",R,51.1,48.6,0.0,0.31,51.26,48.74,,,1960
27,President,19601108,Nebraska,6,0,0,"613,095","380,553","Nixon, Richard M. ",Challenger,"232,542","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"148,011",R,62.07,37.93,0.0,0.0,62.07,37.93,,,1960
28,President,19601108,Nevada,0,3,0,"107,267","52,387","Nixon, Richard M. ",Challenger,"54,880","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"2,493",D,48.84,51.16,0.0,0.0,48.84,51.16,,,1960
29,President,19601108,New Hampshire,4,0,0,"295,761","157,989","Nixon, Richard M. ",Challenger,"137,772","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"20,217",R,53.42,46.58,0.0,0.0,53.42,46.58,,,1960
30,President,19601108,New Jersey,0,16,0,"2,773,111","1,363,324","Nixon, Richard M. ",Challenger,"1,385,415","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"24,372",,"22,091",D,49.16,49.96,0.0,0.88,49.6,50.4,,,1960
31,President,19601108,New Mexico,0,4,0,"311,107","153,733","Nixon, Richard M. ",Challenger,"156,027","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"1,347",,"2,294",D,49.41,50.15,0.0,0.43,49.63,50.37,,,1960
32,President,19601108,New York,0,45,0,"7,291,079","3,446,419","Nixon, Richard M. ",Challenger,"3,830,085","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"14,575",,"383,666",D,47.27,52.53,0.0,0.2,47.36,52.64,,,1960
33,President,19601108,North Carolina,0,14,0,"1,368,556","655,420","Nixon, Richard M. ",Challenger,"713,136","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"57,716",D,47.89,52.11,0.0,0.0,47.89,52.11,,,1960
34,President,19601108,North Dakota,4,0,0,"278,431","154,310","Nixon, Richard M. ",Challenger,"123,963","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,158,,"30,347",R,55.42,44.52,0.0,0.06,55.45,44.55,,,1960
35,President,19601108,Ohio,25,0,0,"4,161,859","2,217,611","Nixon, Richard M. ",Challenger,"1,944,248","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"273,363",R,53.28,46.72,0.0,0.0,53.28,46.72,,,1960
36,President,19601108,Oklahoma,7,0,1,"903,150","533,039","Nixon, Richard M. ",Challenger,"370,111","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"162,928",R,59.02,40.98,0.0,0.0,59.02,40.98,,,1960
37,President,19601108,Oregon,6,0,0,"776,421","408,060","Nixon, Richard M. ",Challenger,"367,402","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,959,,"40,658",R,52.56,47.32,0.0,0.12,52.62,47.38,,,1960
38,President,19601108,Pennsylvania,0,32,0,"5,006,541","2,439,956","Nixon, Richard M. ",Challenger,"2,556,282","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"10,303",,"116,326",D,48.74,51.06,0.0,0.21,48.84,51.16,,,1960
39,President,19601108,Rhode Island,0,4,0,"405,535","147,502","Nixon, Richard M. ",Challenger,"258,032","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,1,,"110,530",D,36.37,63.63,0.0,0.0,36.37,63.63,,,1960
40,President,19601108,South Carolina,0,8,0,"386,688","188,558","Nixon, Richard M. ",Challenger,"198,129","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,1,,"9,571",D,48.76,51.24,0.0,0.0,48.76,51.24,,,1960
41,President,19601108,South Dakota,4,0,0,"306,487","178,417","Nixon, Richard M. ",Challenger,"128,070","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,,,"50,347",R,58.21,41.79,0.0,0.0,58.21,41.79,,,1960
42,President,19601108,Tennessee,11,0,0,"1,051,792","556,577","Nixon, Richard M. ",Challenger,"481,453","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"13,762",,"75,124",R,52.92,45.77,0.0,1.31,53.62,46.38,,,1960
43,President,19601108,Texas,0,24,0,"2,311,084","1,121,310","Nixon, Richard M. ",Challenger,"1,167,567","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"22,207",,"46,257",D,48.52,50.52,0.0,0.96,48.99,51.01,,,1960
44,President,19601108,Utah,4,0,0,"374,709","205,361","Nixon, Richard M. ",Challenger,"169,248","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,100,,"36,113",R,54.81,45.17,0.0,0.03,54.82,45.18,,,1960
45,President,19601108,Vermont,3,0,0,"167,324","98,131","Nixon, Richard M. ",Challenger,"69,186","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,7,,"28,945",R,58.65,41.35,0.0,0.0,58.65,41.35,,,1960
46,President,19601108,Virginia,12,0,0,"771,449","404,521","Nixon, Richard M. ",Challenger,"362,327","Kennedy, John F. ",Challenger,Unpledged Democrat,,"Byrd, Harry F. ",Challenger,"4,601",,"42,194",R,52.44,46.97,0.0,0.6,52.75,47.25,,,1960
